condition,MLV_IC50,VSV_IC50,FFU_IC50,IF_luc_IC50,RBD_SPR_nM,breadth,Zost_IC50,antibody_escapability,antibody_escapability_tolerance_weighted,antibody_escapability_natural_variation_weighted,group,MLV_IC50_scale,VSV_IC50_scale,FFU_IC50_scale,IF_luc_IC50_scale,Zost_IC50_scale,RBD_SPR_nM_scale,MLV_IC50_color,VSV_IC50_color,FFU_IC50_color,IF_luc_IC50_color,Zost_IC50_color,RBD_SPR_nM_color,breadth_scale,breadth_color,antibody_escapability_scale,antibody_escapability_tolerance_weighted_scale,antibody_escapability_natural_variation_weighted_scale,antibody_escapability_color,antibody_escapability_tolerance_weighted_color,antibody_escapability_natural_variation_weighted_color,neuts_combined_scale,neuts_combined_color
S2H13,2.69897000433602,NA,NA,NA,2.17318626841227,0.125,NA,107.48163,32.038269847563,5.98719486166837,1,0.117307812363569,NA,NA,NA,NA,0,#FFF8BE,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#FFFFE5,0.0740740740740741,#FFFCC9,0.130835833805354,0.0281963034981553,0,#FFF6BA,#FFFED8,#FFFFE5,NA,#7F7F7F
S2H14,2.95424250943932,NA,NA,NA,1.8750612633917,0.0625,NA,94.95598,14.8803625321159,2.46009694604888,1,0,NA,NA,NA,NA,0.0858107217167844,#FFFFE5,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#FFFBC6,0,#FFFFE5,0.245750665462257,0.663110199847667,0.645851075119113,#FEE493,#E4640D,#E86A10,NA,#7F7F7F
REGN10933,NA,NA,NA,NA,NA,0.167,NA,58.00445,8.686510988161,1.72721231706411,1,NA,NA,NA,NA,NA,NA,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,0.123851851851852,#FFF7BC,0.584757331736261,0.892308454907735,0.780050447206846,#F47D1A,#903305,#C24501,NA,#7F7F7F
REGN10987,NA,NA,NA,NA,NA,0.167,NA,93.73606,28.9281894456409,3.71774047032535,1,NA,NA,NA,NA,NA,NA,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,0.123851851851852,#FFF7BC,0.256942651621449,0.143282207020135,0.415562480443712,#FEE28E,#FFF5B7,#FFB73F,NA,#7F7F7F
LY-CoV016,NA,NA,NA,NA,NA,0.25,NA,121.74266,25.6158885729531,2.82718019385809,1,NA,NA,NA,NA,NA,NA,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,0.222222222222222,#FEE89D,0,0.265851108593975,0.578634027016792,#FFFFE5,#FEE089,#F57F1B,NA,#7F7F7F
rCR3022,NA,NA,NA,NA,NA,0.5,3.20897851727625,19.096862,8.47576934932958,0.442755879411334,2,NA,NA,NA,NA,0,NA,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#FFFFE5,#7F7F7F,0.518518518518518,#FD9325,0.525710438665624,0,0.500258743023205,#FC9024,#FFFFE5,#FE9929,0,#FFFFE5
COV2-2677,NA,NA,NA,NA,NA,0.08333,3.20897851727625,8.898504,3.4004240491318,0.405800396240915,2,NA,NA,NA,NA,0,NA,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#FFFFE5,#7F7F7F,0.0246874074074074,#FFFEDA,0.796404194071744,0.620275337752855,0.545700773191731,#BC4101,#ED7115,#FA8921,0,#FFFFE5
COV2-2082,NA,NA,NA,NA,NA,0.5,2.3096301674259,6.044605,1.7209064780496,0.154132979270508,2,NA,NA,NA,NA,0.505929841251169,NA,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#FE9728,#7F7F7F,0.518518518518518,#FD9325,0.872154882355071,0.825534934301738,0.855161707626444,#9A3404,#B03B01,#A33603,0.505929841251169,#FE9728
COV2-2094,NA,NA,NA,NA,NA,0.5,2.18752072083646,4.256636,1.70588019934192,0.234213817426068,2,NA,NA,NA,NA,0.574622704187473,NA,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#F5801C,#7F7F7F,0.518518518518518,#FD9325,0.919612722446557,0.827371347304064,0.7566909111115,#833106,#AF3B02,#CA4A02,0.574622704187473,#F5801C
COV2-2165,NA,NA,NA,NA,NA,0.25,2.52113808370404,1.970152,0.29336229348107,0.0363440280200312,2,NA,NA,NA,NA,0.38694572733828,NA,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#FEC04A,#7F7F7F,0.222222222222222,#FEE89D,0.980302584543573,1,1,#6A2A07,#662506,#662506,0.38694572733828,#FEC04A
COV2-2832,NA,NA,NA,NA,NA,0.167,1.84509804001426,6.827445,0.8936790648307,0.0943223418307683,2,NA,NA,NA,NA,0.767253126623901,NA,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#C64801,#7F7F7F,0.123851851851852,#FFF7BC,0.851376057030236,0.926633230631011,0.928707405254096,#A43703,#7F3107,#7E3107,0.767253126623901,#C64801
COV2-2479,NA,NA,NA,NA,NA,0.167,1.68124123737559,1.228054,0.4504434804942,0.0547027646506404,2,NA,NA,NA,NA,0.859431030948405,NA,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#A13603,#7F7F7F,0.123851851851852,#FFF7BC,1,0.98080256996004,0.977425318457426,#662506,#6A2A07,#6B2B07,0.859431030948405,#A13603
COV2-2050,NA,NA,NA,NA,NA,0.167,1.90308998699194,6.493757,2.24394943933663,0.585601927565294,2,NA,NA,NA,NA,0.734629664832762,NA,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#D15003,#7F7F7F,0.123851851851852,#FFF7BC,0.860233096354994,0.761612062007922,0.324609181096686,#A03603,#C84901,#FED269,0.734629664832762,#D15003
COV2-2096,NA,NA,NA,NA,NA,0.08333,1.77085201164214,14.408705,6.98694521599151,0.849588573507246,2,NA,NA,NA,NA,0.809020347694672,NA,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#B73E01,#7F7F7F,0.0246874074074074,#FFFEDA,0.650147610243979,0.18195429818832,0,#E76810,#FFEFAC,#FFFFE5,0.809020347694672,#B73E01
COV2-2499,NA,NA,NA,NA,NA,0.167,1.43136376415899,38.902946,5.87580119763086,0.601488788206534,2,NA,NA,NA,NA,1,NA,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#662506,#7F7F7F,0.123851851851852,#FFF7BC,0,0.317751015557256,0.305074023155083,#FFFFE5,#FED46D,#FED774,1,#662506
